                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                  1.588,                0.91494,                  1.269,                0.72387,                0.73643,                0.73095,                0.37474,                 1.6502,                 1.9742,                 1.5402,               0.005446,               0.005446,               0.005446
                     48,                 1.5817,                0.91698,                 1.2617,                0.71883,                0.72303,                0.72091,                0.36296,                 1.6637,                 1.9602,                 1.5488,               0.005347,               0.005347,               0.005347
                     49,                 1.5709,                 0.9083,                 1.2735,                0.71297,                0.71661,                0.72174,                0.36206,                 1.6775,                 2.0218,                 1.5904,               0.005248,               0.005248,               0.005248
                     50,                 1.5824,                0.90127,                 1.2602,                0.73108,                0.73429,                0.73842,                0.36992,                 1.6923,                 1.8026,                 1.5807,               0.005149,               0.005149,               0.005149
                     51,                 1.5642,                0.88974,                 1.2607,                 0.7186,                0.74558,                0.73613,                 0.3759,                 1.6515,                 1.9372,                 1.5326,                0.00505,                0.00505,                0.00505
                     52,                 1.5762,                0.88884,                 1.2543,                0.71403,                0.74466,                0.74055,                0.36963,                 1.6647,                 1.8385,                 1.5452,               0.004951,               0.004951,               0.004951
                     53,                  1.573,                0.88798,                 1.2616,                0.70836,                0.73049,                0.73972,                 0.3843,                 1.6615,                 1.9749,                 1.5718,               0.004852,               0.004852,               0.004852
                     54,                 1.5772,                0.89198,                  1.253,                0.73058,                0.75081,                0.73593,                 0.3737,                 1.6586,                 1.9049,                 1.5563,               0.004753,               0.004753,               0.004753
                     55,                 1.5721,                0.88534,                 1.2543,                0.72709,                0.73504,                0.73302,                0.37574,                 1.6581,                 1.9006,                 1.5461,               0.004654,               0.004654,               0.004654
                     56,                 1.5706,                0.87651,                 1.2545,                0.72786,                0.73061,                0.72988,                 0.3754,                 1.6436,                 1.8563,                 1.5401,               0.004555,               0.004555,               0.004555
                     57,                 1.5511,                0.85727,                 1.2548,                0.74167,                0.74195,                0.73346,                0.37275,                 1.6363,                 1.8019,                 1.5385,               0.004456,               0.004456,               0.004456
                     58,                 1.5541,                 0.8543,                 1.2471,                0.73452,                0.74623,                0.73754,                0.37916,                  1.648,                 1.8446,                 1.5249,               0.004357,               0.004357,               0.004357
                     59,                 1.5585,                0.84756,                 1.2493,                0.73637,                0.74645,                0.74758,                0.38762,                 1.6075,                  1.917,                 1.4864,               0.004258,               0.004258,               0.004258
                     60,                  1.534,                0.85156,                 1.2397,                0.73555,                0.73753,                0.73961,                0.38174,                 1.6419,                 1.7727,                  1.532,               0.004159,               0.004159,               0.004159
                     61,                 1.5502,                0.84136,                 1.2473,                0.72519,                0.76713,                0.74093,                0.38197,                 1.6284,                   1.84,                 1.5111,                0.00406,                0.00406,                0.00406
